1,0,498
2,0,487
3,0,514
4,0,517
5,0,509
6,0,512
7,0,511
8,0,520
9,0,522
10,0,516
11,0,510
12,0,512
13,0,510
14,0,511
15,0,511
16,0,510
17,0,510
18,0,510
19,0,510
20,0,510
21,0,511
22,0,510
23,0,510
24,0,510
25,57,511
26,57,519
27,57,521
28,57,514
29,57,512
30,57,510
31,57,510
32,57,511
33,57,512
34,57,510
35,57,509
36,59,511
37,59,511
38,59,511
39,59,510
40,59,510
41,59,511
42,59,510
43,59,510
44,59,512
45,59,522
46,59,522
47,59,514
48,59,513
49,59,512
50,59,510
51,59,516
1,0,514
2,150,503
3,150,508
4,134,510
5,134,512
6,120,511
7,107,510
8,107,525
9,97,511
10,97,508
11,90,510
12,89,509
13,89,522
14,89,511
15,89,510
16,89,511
17,89,511
18,89,514
19,61,510
20,61,511
21,62,513
22,61,509
23,61,522
24,61,511
25,61,519
26,61,512
27,62,512
28,62,524
29,62,511
30,62,509
31,62,511
32,62,511
33,62,511
34,62,511
35,61,511
36,61,511
37,63,525
38,68,517
39,68,522
40,68,530
41,68,527
42,68,521
43,68,520
44,68,519
45,68,521
46,68,519
47,41,341
48,41,516
49,41,520
50,41,519
51,41,521
52,41,522
53,41,519
54,41,520
55,41,528
56,41,519
57,41,519
58,55,519
59,55,521
60,55,520
61,56,522
62,59,523
63,63,518
64,69,515
65,81,512
66,176,514
67,197,517
68,223,529
69,229,530
70,184,523
71,169,531
72,160,524
73,160,518
74,160,518
75,160,522
76,116,529
77,101,522
78,101,518
79,91,519
80,87,520
81,87,526
82,87,518
83,87,517
84,87,520
85,87,521
86,87,518
87,87,519
88,87,526
89,87,518
90,87,517
91,87,520
92,87,497
93,85,532
94,85,517
95,85,515
96,75,519
97,73,516
98,73,516
99,74,526
100,73,518
101,73,521
102,73,516
103,74,519
104,74,519
105,74,517
106,74,519
107,74,521
108,74,519
109,74,518
110,74,530
111,74,518
112,74,527
113,51,520
114,51,517
115,51,520
116,51,521
117,51,519
118,51,518
119,51,533
